run_id,model,actual_label_index,pred_label_index,count
20260226_094437,LogisticRegression_Multinomial,8.0,4.0,0.0
20260226_094437,LogisticRegression_Multinomial,8.0,5.0,0.0
20260226_094437,LogisticRegression_Multinomial,8.0,6.0,0.0
20260226_094437,LogisticRegression_Multinomial,8.0,7.0,0.0
20260226_094437,LogisticRegression_Multinomial,8.0,8.0,44.0
20260226_094437,LogisticRegression_Multinomial,8.0,9.0,0.0
20260226_094437,LogisticRegression_Multinomial,8.0,10.0,2.0
20260226_094437,LogisticRegression_Multinomial,8.0,11.0,0.0
20260226_094437,LogisticRegression_Multinomial,8.0,12.0,0.0
20260226_094437,LogisticRegression_Multinomial,8.0,13.0,0.0
20260226_094437,LogisticRegression_Multinomial,9.0,0.0,0.0
20260226_094437,LogisticRegression_Multinomial,9.0,1.0,0.0
20260226_094437,LogisticRegression_Multinomial,9.0,2.0,0.0
20260226_094437,LogisticRegression_Multinomial,9.0,3.0,0.0
20260226_094437,LogisticRegression_Multinomial,9.0,4.0,0.0
20260226_094437,LogisticRegression_Multinomial,9.0,5.0,0.0
20260226_094437,LogisticRegression_Multinomial,9.0,6.0,0.0
20260226_094437,LogisticRegression_Multinomial,9.0,7.0,0.0
20260226_094437,LogisticRegression_Multinomial,9.0,8.0,0.0
20260226_094437,LogisticRegression_Multinomial,9.0,9.0,4.0
20260226_094437,LogisticRegression_Multinomial,9.0,10.0,0.0
20260226_094437,LogisticRegression_Multinomial,9.0,11.0,0.0
20260226_094437,LogisticRegression_Multinomial,9.0,12.0,0.0
20260226_094437,LogisticRegression_Multinomial,9.0,13.0,0.0
20260226_094437,LogisticRegression_Multinomial,10.0,0.0,0.0
20260226_094437,LogisticRegression_Multinomial,10.0,1.0,0.0
20260226_094437,LogisticRegression_Multinomial,10.0,2.0,0.0
20260226_094437,LogisticRegression_Multinomial,10.0,3.0,0.0
20260226_094437,LogisticRegression_Multinomial,10.0,4.0,0.0
20260226_094437,LogisticRegression_Multinomial,10.0,5.0,0.0
20260226_094437,LogisticRegression_Multinomial,10.0,6.0,0.0
20260226_094437,LogisticRegression_Multinomial,10.0,7.0,0.0
20260226_094437,LogisticRegression_Multinomial,10.0,8.0,0.0
20260226_094437,LogisticRegression_Multinomial,10.0,9.0,0.0
20260226_094437,LogisticRegression_Multinomial,10.0,10.0,5.0
20260226_094437,LogisticRegression_Multinomial,10.0,11.0,0.0
20260226_094437,LogisticRegression_Multinomial,10.0,12.0,0.0
20260226_094437,LogisticRegression_Multinomial,10.0,13.0,0.0
20260226_094437,LogisticRegression_Multinomial,11.0,0.0,0.0
20260226_094437,LogisticRegression_Multinomial,11.0,1.0,2.0
20260226_094437,LogisticRegression_Multinomial,11.0,2.0,0.0
20260226_094437,LogisticRegression_Multinomial,11.0,3.0,0.0
20260226_094437,LogisticRegression_Multinomial,11.0,4.0,0.0
20260226_094437,LogisticRegression_Multinomial,11.0,5.0,0.0
20260226_094437,LogisticRegression_Multinomial,11.0,6.0,0.0
20260226_094437,LogisticRegression_Multinomial,11.0,7.0,0.0
